year,month,honda_motorbike_sales,is_derived,source_url
2024,9,184961,0,https://www.honda.com.vn/xe-may/tin-tuc/honda-viet-nam-cong-bo-ket-qua-kinh-doanh-thang-092024
2024,10,182881,0,https://www.honda.com.vn/xe-may/tin-tuc/honda-viet-nam-cong-bo-ket-qua-kinh-doanh-thang-102024
2024,11,220945,0,https://www.honda.com.vn/xe-may/tin-tuc/honda-viet-nam-cong-bo-ket-qua-kinh-doanh-thang-112024
2024,12,230509,0,https://www.honda.com.vn/xe-may/tin-tuc/honda-viet-nam-cong-bo-ket-qua-kinh-doanh-thang-122024-va-ca-nam-2024
2025,1,198911,0,https://www.honda.com.vn/xe-may/tin-tuc/honda-viet-nam-cong-bo-ket-qua-kinh-doanh-thang-12025
2025,2,194888,0,https://www.honda.com.vn/xe-may/tin-tuc/honda-viet-nam-cong-bo-ket-qua-kinh-doanh-thang-22025
2025,3,202546,0,https://www.honda.com.vn/xe-may/tin-tuc/honda-viet-nam-cong-bo-ket-qua-kinh-doanh-thang-32025
2025,4,170986,0,https://www.honda.com.vn/xe-may/tin-tuc/honda-viet-nam-cong-bo-ket-qua-kinh-doanh-thang-42025
2025,5,176878,0,https://www.honda.com.vn/xe-may/tin-tuc/honda-viet-nam-cong-bo-ket-qua-kinh-doanh-thang-52025
2025,6,164584,0,https://www.honda.com.vn/xe-may/tin-tuc/honda-viet-nam-cong-bo-ket-qua-kinh-doanh-thang-62025
2025,7,197349,0,https://www.honda.com.vn/xe-may/tin-tuc/honda-viet-nam-cong-bo-ket-qua-kinh-doanh-thang-72025
2025,8,154599,0,https://www.honda.com.vn/xe-may/tin-tuc/honda-viet-nam-cong-bo-ket-qua-kinh-doanh-thang-82025
2025,9,163787,0,https://www.honda.com.vn/xe-may/tin-tuc/honda-viet-nam-cong-bo-ket-qua-kinh-doanh-thang-92025
2025,10,188036,0,https://www.honda.com.vn/xe-may/tin-tuc/honda-viet-nam-cong-bo-ket-qua-kinh-doanh-thang-102025
2025,11,208521,0,https://www.honda.com.vn/xe-may/tin-tuc/honda-viet-nam-cong-bo-ket-qua-kinh-doanh-thang-112025
2025,12,224477,0,https://www.honda.com.vn/xe-may/tin-tuc/honda-viet-nam-cong-bo-ket-qua-kinh-doanh-thang-12-va-ca-nam-2025
2026,1,214892,0,https://www.honda.com.vn/xe-may/tin-tuc/honda-viet-nam-cong-bo-ket-qua-kinh-doanh-thang-12026
2026,2,156779,0,https://www.honda.com.vn/xe-may/tin-tuc/honda-viet-nam-cong-bo-ket-qua-kinh-doanh-thang-22026
2026,3,241252,0,https://www.honda.com.vn/xe-may/tin-tuc/honda-viet-nam-cong-bo-ket-qua-kinh-doanh-thang-32026
2026,4,173468,0,https://www.honda.com.vn/xe-may/tin-tuc/honda-viet-nam-cong-bo-ket-qua-kinh-doanh-thang-42026
2026,5,169976,0,https://www.honda.com.vn/xe-may/tin-tuc/honda-viet-nam-cong-bo-ket-qua-kinh-doanh-thang-52026
